C,gamma,fitness
1024.0,0.000244140625,0.7243859484092144
1024.0,0.00048828125,0.7353968950764386
1024.0,0.0009765625,0.7434201541313042
1024.0,0.001953125,0.743796075644188
1024.0,0.00390625,0.7521926432264447
1024.0,0.0078125,0.7611489123012389
1024.0,0.015625,0.7652553061025404
1024.0,0.03125,0.7682407291274719
1024.0,0.0625,0.7714123709185167
1024.0,0.125,0.7385666206781221
1024.0,0.25,0.5431980503644244
1024.0,0.5,0.47564871719832214
1024.0,1.0,0.47564871719832214
1024.0,2.0,0.47564871719832214
1024.0,4.0,0.47564871719832214
1024.0,8.0,0.47564871719832214
2048.0,3.0517578125e-05,0.7163651281408085
2048.0,6.103515625e-05,0.7204689089566175
2048.0,0.0001220703125,0.7215867441503965
2048.0,0.000244140625,0.729237043075937
2048.0,0.00048828125,0.7357689842105997
2048.0,0.0009765625,0.7437959014451552
2048.0,0.001953125,0.7428623688281283
2048.0,0.00390625,0.7534986133756986
2048.0,0.0078125,0.7611489123012389
2048.0,0.015625,0.7652553061025404
2048.0,0.03125,0.7682407291274719
2048.0,0.0625,0.7714123709185167
2048.0,0.125,0.7385666206781221
2048.0,0.25,0.5431980503644244
2048.0,0.5,0.47564871719832214
2048.0,1.0,0.47564871719832214
2048.0,2.0,0.47564871719832214
2048.0,4.0,0.47564871719832214
2048.0,8.0,0.47564871719832214
4096.0,3.0517578125e-05,0.7200957746282592
4096.0,6.103515625e-05,0.7206532115333696
4096.0,0.0001220703125,0.7234529383892861
4096.0,0.000244140625,0.7297976155636384
4096.0,0.00048828125,0.7339034867678416
4096.0,0.0009765625,0.7363312986886297
4096.0,0.001953125,0.7415563986788746
4096.0,0.00390625,0.7534986133756986
4096.0,0.0078125,0.7611489123012389
4096.0,0.015625,0.7652553061025404
4096.0,0.03125,0.7682407291274719
4096.0,0.0625,0.7714123709185167
4096.0,0.125,0.7385666206781221
4096.0,0.25,0.5431980503644244
4096.0,0.5,0.47564871719832214
4096.0,1.0,0.47564871719832214
4096.0,2.0,0.47564871719832214
4096.0,4.0,0.47564871719832214
4096.0,8.0,0.47564871719832214
8192.0,3.0517578125e-05,0.7189734102596261
8192.0,6.103515625e-05,0.7217734855136084
8192.0,0.0001220703125,0.7260650528868264
